name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Bitcoin,BTC,https://bitcoin.org/,https://github.com/bitcoin/,,17061462.0,1.0,1527573270.0,21000000.0,121335999305.0,-0.56,-2.35,-14.62,7111.7,4769450000.0,1.0,17061462.0,bitcoin
Ethereum,ETH,https://www.ethereum.org/,https://github.com/ethereum,,99732576.0,1027.0,1527573259.0,,52273533105.0,-0.96,-3.93,-24.3,524.137,2176630000.0,2.0,99732576.0,ethereum
Ripple,XRP,https://ripple.com/,https://github.com/ripple,https://ripple.com/company/careers/,39189968239.0,52.0,1527573542.0,100000000000.0,21824070323.0,-0.42,-5.76,-17.54,0.556879,327676000.0,3.0,99992233977.0,ripple
Bitcoin Cash,BCH,https://www.bitcoincash.org/,https://github.com/bitcoincashorg/,,17153525.0,1831.0,1527573261.0,21000000.0,15206325456.0,-1.11,-7.2,-26.18,886.4839999999999,543498000.0,4.0,17153525.0,bitcoin-cash
EOS,EOS,https://eos.io/,https://github.com/eosio,,887496637.0,1765.0,1527573259.0,1000000000.0,9859821388.0,-5.01,-9.67,-15.15,11.1097,1449420000.0,5.0,900000000.0,eos
Litecoin,LTC,https://litecoin.com,https://github.com/litecoin-project/litecoin,,56741723.0,2.0,1527573541.0,84000000.0,6359669066.0,-0.8,-3.16,-16.18,112.081,297629000.0,6.0,56741723.0,litecoin
Cardano,ADA,https://www.cardano.org,https://github.com/input-output-hk/cardano-sl/,,25927070538.0,2010.0,1527573264.0,45000000000.0,4664591115.0,-1.62,-2.88,-26.08,0.179912,92022900.0,8.0,31112483745.0,cardano
Stellar,XLM,https://www.stellar.org,https://github.com/stellar,https://jobs.lever.co/stellar,18578506587.0,512.0,1527573545.0,,4682805478.0,-0.22,-6.22,-20.06,0.25205500000000003,45636500.0,7.0,103986155722.0,stellar
TRON,TRX,https://tron.network/,https://github.com/tronprotocol,,65748111645.0,1958.0,1527573264.0,,3840603619.0,-1.35,-12.14,-27.46,0.0584139,500571000.0,9.0,100000000000.0,tron
IOTA,MIOTA,https://www.iota.org/,https://github.com/iotaledger,,2779530283.0,1720.0,1527573559.0,2779530283.0,3757758171.0,-1.28,-5.25,-20.85,1.35194,51640700.0,10.0,2779530283.0,iota
NEO,NEO,https://neo.org/,https://github.com/neo-project,,65000000.0,1376.0,1527573552.0,100000000.0,3142119500.0,-0.63,-4.13,-20.27,48.3403,87056600.0,11.0,100000000.0,neo
Tether,USDT,https://tether.to,,,2507140814.0,825.0,1527573548.0,,2518799018.0,0.05,0.46,0.32,1.00465,2432070000.0,12.0,2830109970.0,tether
Monero,XMR,http://www.monero.cc,https://github.com/monero-project/monero,,16078013.0,328.0,1527573545.0,,2410271051.0,0.05,-8.04,-21.94,149.911,37045800.0,13.0,16078013.0,monero
Dash,DASH,https://www.dash.org/,https://github.com/dashpay/dash,https://hire.withgoogle.com/public/jobs/dashorg,8097083.0,131.0,1527573542.0,18900000.0,2330980076.0,-0.57,-7.1,-24.1,287.879,83577200.0,14.0,8097083.0,dash
NEM,XEM,http://nem.io,https://github.com/NemProject,https://nem.io/jobs/,8999999999.0,873.0,1527573547.0,,2066067000.0,-0.27,-8.3,-25.05,0.22956300000000002,15280700.0,15.0,8999999999.0,nem
VeChain,VEN,https://www.vechain.org/,,,526047017.0,1904.0,1527573263.0,,1636763730.0,-1.53,-7.85,-28.68,3.11144,59054900.0,16.0,873378637.0,vechain
Ethereum Classic,ETC,https://ethereumclassic.org/,https://github.com/ethereumproject,,101893941.0,1321.0,1527573552.0,,1468098091.0,-0.81,-3.74,-17.06,14.4081,144838000.0,17.0,101893941.0,ethereum-classic
Binance Coin,BNB,https://www.binance.com/,https://github.com/binance-exchange/binance-official-api-docs,,114041290.0,1839.0,1527573261.0,,1347375034.0,-1.3,-3.81,-18.08,11.8148,29115700.0,18.0,194972068.0,binance-coin
Qtum,QTUM,https://qtum.org/,https://github.com/qtumproject/qtum/,,88629700.0,1684.0,1527573558.0,,1089028576.0,-1.42,-4.94,-22.91,12.2874,122644000.0,19.0,100629700.0,qtum
OmiseGO,OMG,https://omg.omise.co/,https://github.com/omise/omise-go,,102042552.0,1808.0,1527573260.0,,977641117.0,-2.06,-5.26,-22.8,9.58072,34956700.0,20.0,140245398.0,omisego
Bytecoin,BCN,https://bytecoin.org/,https://github.com/bcndev,,183890481254.0,372.0,1527573544.0,184470000000.0,946605675.0,-1.58,-10.15,-40.48,0.00514766,13494900.0,21.0,183890481254.0,bytecoin-bcn
Zcash,ZEC,https://z.cash/,https://github.com/zcash/zcash,https://z.cash//jobs,4019356.0,1437.0,1527573554.0,,897928206.0,-4.19,-12.38,-31.78,223.40099999999998,75099500.0,22.0,4019356.0,zcash
ICON,ICX,https://www.icon.foundation/,https://github.com/theloopkr/loopchain,,387231348.0,2099.0,1527573266.0,,861179285.0,-0.99,-7.32,-33.77,2.2239400000000002,40800500.0,24.0,400228740.0,icon
Lisk,LSK,https://lisk.io/,https://github.com/LiskHQ/,https://lisk.io/careers,106387292.0,1214.0,1527573551.0,,864770170.0,-0.46,-5.76,-23.58,8.12851,12478500.0,23.0,121636908.0,lisk
Zilliqa,ZIL,https://www.zilliqa.com/,https://github.com/Zilliqa/Zilliqa,https://www.zilliqa.com//careers.html,7329266952.0,2469.0,1527573274.0,,727201805.0,-2.06,-11.11,-30.95,0.0992189,39506300.0,25.0,12600000000.0,zilliqa
