name,symbol,website,github,careers
Bitcoin,BTC,https://bitcoin.org/,https://github.com/bitcoin/,
Ethereum,ETH,https://www.ethereum.org/,https://github.com/ethereum,
Ripple,XRP,https://ripple.com/,https://github.com/ripple,https://ripple.com/company/careers/
Bitcoin Cash,BCH,https://www.bitcoincash.org/,https://github.com/bitcoincashorg/,
EOS,EOS,https://eos.io/,https://github.com/eosio,
Litecoin,LTC,https://litecoin.com,https://github.com/litecoin-project/litecoin,
Cardano,ADA,https://www.cardano.org,https://github.com/input-output-hk/cardano-sl/,
Stellar,XLM,https://www.stellar.org,https://github.com/stellar,https://jobs.lever.co/stellar
TRON,TRX,https://tron.network/,https://github.com/tronprotocol,
IOTA,MIOTA,https://www.iota.org/,https://github.com/iotaledger,
NEO,NEO,https://neo.org/,https://github.com/neo-project,
Tether,USDT,https://tether.to,,
Monero,XMR,http://www.monero.cc,https://github.com/monero-project/monero,
Dash,DASH,https://www.dash.org/,https://github.com/dashpay/dash,https://hire.withgoogle.com/public/jobs/dashorg
NEM,XEM,http://nem.io,https://github.com/NemProject,https://nem.io/jobs/
VeChain,VEN,https://www.vechain.org/,,
Ethereum Classic,ETC,https://ethereumclassic.org/,https://github.com/ethereumproject,
Binance Coin,BNB,https://www.binance.com/,https://github.com/binance-exchange/binance-official-api-docs,
Qtum,QTUM,https://qtum.org/,https://github.com/qtumproject/qtum/,
OmiseGO,OMG,https://omg.omise.co/,https://github.com/omise/omise-go,
Bytecoin,BCN,https://bytecoin.org/,https://github.com/bcndev,
Zcash,ZEC,https://z.cash/,https://github.com/zcash/zcash,https://z.cash//jobs
ICON,ICX,https://www.icon.foundation/,https://github.com/theloopkr/loopchain,
Lisk,LSK,https://lisk.io/,https://github.com/LiskHQ/,https://lisk.io/careers
Zilliqa,ZIL,https://www.zilliqa.com/,https://github.com/Zilliqa/Zilliqa,https://www.zilliqa.com//careers.html
Bitcoin Gold,BTG,https://bitcoingold.org/,https://github.com/BTCGPU/BTCGPU,
Ontology,ONT,https://ont.io/,https://github.com/ontio,
Aeternity,AE,https://www.aeternity.com/,https://github.com/aeternity,
Decred,DCR,https://www.decred.org/,https://github.com/decred,
Bytom,BTM,http://bytom.io/,https://github.com/Bytom/bytom,
0x,ZRX,https://0xproject.com/,https://github.com/0xProject,
Steem,STEEM,https://steem.io/,https://github.com/steemit/steem,https://jobs.lever.co/steemit
Verge,XVG,http://vergecurrency.com/,https://github.com/vergecurrency,
BitShares,BTS,https://bitshares.org,https://github.com/bitshares,
