name,symbol,website,github,careers
Bitcoin,BTC,https://bitcoin.org/,https://github.com/bitcoin/,
Ethereum,ETH,https://www.ethereum.org/,https://github.com/ethereum,
XRP,XRP,https://ripple.com/xrp/,https://github.com/ripple,https://ripple.com/company/careers/
Bitcoin Cash,BCH,https://www.bitcoincash.org/,https://github.com/bitcoincashorg/,
EOS,EOS,https://eos.io/,https://github.com/eosio,
Stellar,XLM,https://www.stellar.org,https://github.com/stellar,https://jobs.lever.co/stellar
Litecoin,LTC,https://litecoin.com,https://github.com/litecoin-project/litecoin,
Cardano,ADA,https://www.cardano.org,https://github.com/input-output-hk/cardano-sl/,
Tether,USDT,https://tether.to,,
Monero,XMR,http://www.monero.cc,https://github.com/monero-project/monero,
IOTA,MIOTA,https://www.iota.org/,https://github.com/iotaledger,
TRON,TRX,https://tron.network/,https://github.com/tronprotocol,
Dash,DASH,https://www.dash.org/,https://github.com/dashpay/dash,https://hire.withgoogle.com/public/jobs/dashorg
Ethereum Classic,ETC,https://ethereumclassic.org/,https://github.com/ethereumproject,
NEO,NEO,https://neo.org/,https://github.com/neo-project,
NEM,XEM,http://nem.io,https://github.com/NemProject,https://nem.io/jobs/
Binance Coin,BNB,https://www.binance.com/,https://github.com/binance-exchange/binance-official-api-docs,https://jobs.lever.co/binance?team=Marketing
Tezos,XTZ,https://www.tezos.com/,https://gitlab.com/tezos/tezos,
Zcash,ZEC,https://z.cash/,https://github.com/zcash/zcash,https://z.cash/jobs
OmiseGO,OMG,https://omg.omise.co/,https://github.com/omise/omise-go,https://omg.omise.co/careers
VeChain,VET,https://www.vechain.org/,ERR,ERR
Qtum,QTUM,https://qtum.org/,https://github.com/qtumproject/qtum/,
0x,ZRX,https://0xproject.com/,https://github.com/0xProject,
Bitcoin Gold,BTG,https://bitcoingold.org/,https://github.com/BTCGPU/BTCGPU,
Lisk,LSK,https://lisk.io/,https://github.com/LiskHQ/,https://lisk.io/careers
Decred,DCR,https://www.decred.org/,https://github.com/decred,
Bytecoin,BCN,https://bytecoin.org/,https://github.com/bcndev,
Maker,MKR,https://makerdao.com/,https://github.com/makerdao,https://makerdao.com/careers
DigiByte,DGB,http://www.digibyte.io/,https://github.com/digibyte/digibyte,
Dogecoin,DOGE,http://dogecoin.com/,https://github.com/dogecoin/dogecoin,
BitShares,BTS,https://bitshares.org,https://github.com/bitshares,
Steem,STEEM,https://steem.com/,https://github.com/steemit/steem,https://jobs.lever.co/steemit
ICON,ICX,https://www.icon.foundation/,https://github.com/theloopkr/loopchain,
