circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,3262,1536857387,,CYCLEAN,,8.01,1.42,,0.022199521,9010750.716,1551,CCL,4000000000,cyclean,https://cyclean.io,https://github.com/cycleanio/
,3143,1536857443,,Pecunio,,0.81,26.37,-38.97,0.055453299,779410.47,1574,PCO,100000000,pecunio,https://pecun.io,https://github.com/pecunio-official/pco-token
,3253,1536857385,,eosBLACK,,409.48,339.43,,0.415483203,599907.9418,1581,BLACK,3000000000,eosblack,https://eosblack.io/,
,3105,1536857444,,Atlantis Blue Digital Token,,-0.25,9.22,31.19,0.016972258,520176.4813,1584,ABDT,399998765,atlantis-blue-digital-token,https://atlantisblue.org,
,3252,1536857444,,ShineChain,,-2.28,3.84,,0.001505226,488849.0769,1589,SHE,5000000000,shinechain,,https://github.com/ShineChain
,3220,1536857386,,DAV Coin,,-2.65,6.76,-26.71,0.007740629,464392.4361,1592,DAV,1380276938,dav-coin,https://dav.network/,https://github.com/DAVFoundation
,3237,1536857386,,Timicoin,,27.51,25.78,7.35,0.078856592,282655.6205,1605,TMC,309262465,timicoin,https://timicoin.io/,https://github.com/timihealth/timicoin
,3142,1536857442,,BaaSid,,-7.39,69.26,94.4,0.002274147,265440.7575,1608,BAAS,10000000000,baasid,https://www.baasid.com/#token,
,3155,1536857385,,Quant,,3.64,20.27,25.54,0.794344467,263230.3098,1610,QNT,45467000,quant,https://quant.network/,https://github.com/quantnetwork/eth-contract-metadata
,3236,1536857386,,WinToken,,5.69,12.24,-31.19,0.000500014,256668.8148,1613,WIN,21000000000,wintoken,http://www.winchainos.com/,https://github.com/WinchainOS
,3210,1536857385,,MIB Coin,,0.11,2.68,-56.55,0.056544707,232514.1865,1616,MIB,300000000,mib-coin,https://www.mibcoin.io/,
,3004,1536857386,,Volt,,-0.23,-12.43,40.62,0.001546544,226446.7357,1619,ACDC,4000000000,volt,https://volttech.io/,
,3272,1536857387,,Coin2Play,,-5.01,,,0.315862709,179230.5935,1629,C2P,1509818,coin2play,https://coin2play.io/,https://github.com/Coin2Play/
,3267,1536857386,,Project Coin,,-8.63,-53.73,,3.653196433,174249.877,1630,PRJ,807529,project-coin,https://projectcoin.net,https://github.com/projectcoincore/ProjectCoin
,3259,1536857384,,YouLive Coin,,2.04,6.53,,0.000531146,150494.3343,1635,UC,10000000000,youlive-coin,http://www.youlive.io/,
,3261,1536857385,,EvenCoin,,-2.36,9.63,,0.038946194,113137.5691,1645,EVN,21951327,evencoin,https://www.evencoin.io,https://github.com/evencoinevn/Evencoin
,3258,1536857384,,BitUP Token,,1.39,4.06,,0.007135371,112544.8671,1647,BUT,1000000000,bitup-token,https://bitup.com/,
,3260,1536857385,,AMO Coin,,0.4,13.88,,0.001718002,95768.12265,1653,AMO,19679012762,amo-coin,https://www.amo.foundation/,https://github.com/AMO-Project/AMO-Contracts
,3277,1536857386,,vSportCoin,,1.35,,,0.003699582,93432.91698,1654,VSC,2500000000,vsportcoin,http://vsport.io/,
