circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,2921,1531664683,,OneLedger,,-0.37,1.36,,0.0401313,10671600.0,1379,OLT,1000000000.0,oneledger,https://oneledger.io/,https://github.com/Oneledger/OLT
,2918,1531664683,,Bit-Z Token,,0.65,14.93,,0.219792,10512600.0,1380,BZ,1200000000.0,bit-z-token,https://www.bitz.com/,
,2913,1531664683,,DaTa eXchange,,-4.06,17.84,,0.030354,3168480.0,1387,DTX,46094019.0,data-exchange,http://databrokerdao.com,https://github.com/DataBrokerDAO
,2885,1531664682,,Egretia,,0.23,-3.43,-12.59,0.00991729,1577890.0,1396,EGT,8000000000.0,egretia,http://egretia.io/,
,2933,1531664683,,BitMart Token,,-0.1,18.33,,0.0535838,1315550.0,1398,BMX,757732715.0,bitmart-token,https://www.bitmart.com/,
,2908,1531664683,,HashCoin,,0.31,3.57,,0.00241652,1150170.0,1404,HSC,50000000000.0,hashcoin,https://www.hashfuture.io/,https://hashfuture.github.io
,2920,1531664683,,0xcert,,0.13,2.43,,0.0387496,782390.0,1413,ZXC,500000000.0,0xcert,https://0xcert.org/,https://github.com/0xcert/ethereum-erc20
,2907,1531664683,,Karatgold Coin,,11.64,3.22,15.05,0.0104649,409152.0,1429,KBC,12000000000.0,karatgold-coin,https://karatgold.io/,
,2917,1531664683,,Saifu,,-0.08,5.77,,0.0519838,381760.0,1431,SFU,112161073.0,saifu,https://saifu.ai/,
,2878,1531664683,,DigiFinexToken,,0.3,5.4,7.41,0.715166,372815.0,1433,DFT,2100000000.0,digifinextoken,https://www.digifinex.com/,
