circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug
17061462.0,1,1527573270,21000000.0,Bitcoin,121335999305.0,-0.56,-2.35,-14.62,7111.7,4769450000.0,1,BTC,17061462.0,bitcoin
99732576.0,1027,1527573259,,Ethereum,52273533105.0,-0.96,-3.93,-24.3,524.137,2176630000.0,2,ETH,99732576.0,ethereum
39189968239.0,52,1527573542,100000000000.0,Ripple,21824070323.0,-0.42,-5.76,-17.54,0.556879,327676000.0,3,XRP,99992233977.0,ripple
17153525.0,1831,1527573261,21000000.0,Bitcoin Cash,15206325456.0,-1.11,-7.2,-26.18,886.484,543498000.0,4,BCH,17153525.0,bitcoin-cash
887496637.0,1765,1527573259,1000000000.0,EOS,9859821388.0,-5.01,-9.67,-15.15,11.1097,1449420000.0,5,EOS,900000000.0,eos
56741723.0,2,1527573541,84000000.0,Litecoin,6359669066.0,-0.8,-3.16,-16.18,112.081,297629000.0,6,LTC,56741723.0,litecoin
18578506587.0,512,1527573545,,Stellar,4682805478.0,-0.22,-6.22,-20.06,0.252055,45636500.0,7,XLM,103986155722.0,stellar
25927070538.0,2010,1527573264,45000000000.0,Cardano,4664591115.0,-1.62,-2.88,-26.08,0.179912,92022900.0,8,ADA,31112483745.0,cardano
65748111645.0,1958,1527573264,,TRON,3840603619.0,-1.35,-12.14,-27.46,0.0584139,500571000.0,9,TRX,100000000000.0,tron
2779530283.0,1720,1527573559,2779530283.0,IOTA,3757758171.0,-1.28,-5.25,-20.85,1.35194,51640700.0,10,MIOTA,2779530283.0,iota
65000000.0,1376,1527573552,100000000.0,NEO,3142119500.0,-0.63,-4.13,-20.27,48.3403,87056600.0,11,NEO,100000000.0,neo
2507140814.0,825,1527573548,,Tether,2518799018.0,0.05,0.46,0.32,1.00465,2432070000.0,12,USDT,2830109970.0,tether
16078013.0,328,1527573545,,Monero,2410271051.0,0.05,-8.04,-21.94,149.911,37045800.0,13,XMR,16078013.0,monero
8097083.0,131,1527573542,18900000.0,Dash,2330980076.0,-0.57,-7.1,-24.1,287.879,83577200.0,14,DASH,8097083.0,dash
8999999999.0,873,1527573547,,NEM,2066067000.0,-0.27,-8.3,-25.05,0.229563,15280700.0,15,XEM,8999999999.0,nem
526047017.0,1904,1527573263,,VeChain,1636763730.0,-1.53,-7.85,-28.68,3.11144,59054900.0,16,VEN,873378637.0,vechain
101893941.0,1321,1527573552,,Ethereum Classic,1468098091.0,-0.81,-3.74,-17.06,14.4081,144838000.0,17,ETC,101893941.0,ethereum-classic
114041290.0,1839,1527573261,,Binance Coin,1347375034.0,-1.3,-3.81,-18.08,11.8148,29115700.0,18,BNB,194972068.0,binance-coin
88629700.0,1684,1527573558,,Qtum,1089028576.0,-1.42,-4.94,-22.91,12.2874,122644000.0,19,QTUM,100629700.0,qtum
102042552.0,1808,1527573260,,OmiseGO,977641117.0,-2.06,-5.26,-22.8,9.58072,34956700.0,20,OMG,140245398.0,omisego
183890481254.0,372,1527573544,184470000000.0,Bytecoin,946605675.0,-1.58,-10.15,-40.48,0.00514766,13494900.0,21,BCN,183890481254.0,bytecoin-bcn
4019356.0,1437,1527573554,,Zcash,897928206.0,-4.19,-12.38,-31.78,223.401,75099500.0,22,ZEC,4019356.0,zcash
106387292.0,1214,1527573551,,Lisk,864770170.0,-0.46,-5.76,-23.58,8.12851,12478500.0,23,LSK,121636908.0,lisk
387231348.0,2099,1527573266,,ICON,861179285.0,-0.99,-7.32,-33.77,2.22394,40800500.0,24,ICX,400228740.0,icon
7329266952.0,2469,1527573274,,Zilliqa,727201805.0,-2.06,-11.11,-30.95,0.0992189,39506300.0,25,ZIL,12600000000.0,zilliqa
122972076.0,2566,1527573277,,Ontology,687615578.0,-2.2,-9.36,-25.01,5.59164,58356400.0,26,ONT,1000000000.0,ontology
17033511.0,2083,1527573266,21000000.0,Bitcoin Gold,687058593.0,-1.09,-6.78,-23.8,40.3357,10971200.0,27,BTG,17133511.0,bitcoin-gold
233020472.0,1700,1527573558,,Aeternity,684912413.0,-1.33,-4.84,-21.94,2.93928,10006000.0,28,AE,273685830.0,aeternity
7145743.0,1168,1527573550,21000000.0,Decred,624624394.0,-0.26,-0.71,-22.2,87.4121,4944040.0,29,DCR,7565743.0,decred
987000000.0,1866,1527573261,,Bytom,604225608.0,-0.43,-1.83,-12.26,0.612184,73207100.0,30,BTM,1407000000.0,bytom
530950297.0,1896,1527573261,,0x,570176905.0,-2.18,-8.04,-18.09,1.07388,18356600.0,31,ZRX,1000000000.0,0x
257746905.0,1230,1527573551,,Steem,545962071.0,-1.04,-11.31,-31.26,2.11821,8708380.0,32,STEEM,274720999.0,steem
14997869020.0,693,1527573548,16555000000.0,Verge,530785083.0,-2.18,-9.28,-32.79,0.0353907,14941800.0,33,XVG,14997869020.0,verge
2628550000.0,463,1527573544,3600570502.0,BitShares,487872023.0,-1.43,-5.29,-24.53,0.185605,14841800.0,34,BTS,2628550000.0,bitshares
133248289.0,1567,1527573556,133248290.0,Nano,475148742.0,-0.69,-6.22,-32.19,3.56589,7975730.0,35,NANO,133248289.0,nano
34721596247.0,1042,1527573548,,Siacoin,472422039.0,-1.31,-9.36,-30.19,0.013606,14622900.0,36,SC,34721596247.0,siacoin
360196091.0,2021,1527573265,1000000000.0,RChain,443437407.0,-0.4,2.04,-15.59,1.2311,714788.0,37,RHOC,870663574.0,rchain
618228.0,1518,1527573555,,Maker,441626680.0,-0.26,-4.0,-20.47,714.343,154368.0,38,MKR,1000000.0,maker
20446016.0,2575,1527573277,21000000.0,Bitcoin Private,440145475.0,-0.48,-4.55,7.66,21.5272,963812.0,39,BTCP,20446016.0,bitcoin-private
37004027.0,1789,1527573559,53252246.0,Populous,430586258.0,-0.81,-7.13,-28.06,11.6362,19604500.0,40,PPT,53252246.0,populous
153756875.0,2222,1527573270,210000000.0,Bitcoin Diamond,429942662.0,-0.76,-12.88,-26.49,2.79625,1753710.0,41,BCD,156756875.0,bitcoin-diamond
98873984.0,1343,1527573552,,Stratis,408271444.0,-0.18,-5.88,-30.91,4.12921,6021170.0,42,STRAT,98873984.0,stratis
106152493.0,2606,1527573279,,Wanchain,406162790.0,-2.38,-5.79,-32.42,3.82622,8433400.0,43,WAN,210000000.0,wanchain
839242000.0,1455,1527573553,,Golem,396775154.0,-1.28,0.52,-8.6,0.472778,20416200.0,44,GNT,1000000000.0,golem-network-tokens
100000000.0,1274,1527573551,,Waves,389087000.0,-0.42,-5.38,-31.18,3.89087,21698800.0,45,WAVES,100000000.0,waves
114629467439.0,74,1527573547,,Dogecoin,365963745.0,-0.84,-5.03,-23.54,0.00319258,8214190.0,46,DOGE,114629467439.0,dogecoin
11000000.0,1104,1527573549,,Augur,364652200.0,-0.73,-7.06,-35.12,33.1502,3474430.0,47,REP,11000000.0,augur
427107.0,2349,1527573272,,Mixin,345869893.0,-1.22,-3.39,1.75,809.796,241455.0,48,XIN,1000000.0,mixin
175400000.0,2346,1527573271,,WaykiChain,325359984.0,-2.01,0.14,-11.5,1.85496,15745000.0,49,WICC,210000000.0,waykichain
31144099.0,1925,1527573262,100000000.0,Waltonchain,315203201.0,-0.57,-3.74,-18.24,10.1208,5365290.0,50,WTC,70000000.0,waltonchain
10316546871.0,109,1527573546,21000000000.0,DigiByte,314340025.0,-0.62,-4.39,-23.75,0.0304695,2378700.0,51,DGB,10316546871.0,digibyte
8400000000.0,2405,1527573273,,IOST,309793680.0,-2.41,-5.05,-23.56,0.0368802,36908700.0,52,IOST,21000000000.0,iostoken
3470483788.0,1759,1527573259,,Status,307557397.0,-1.0,-3.09,-21.69,0.0886209,13551100.0,53,SNT,6804870174.0,status
43042296.0,1903,1527573262,84000000.0,Hshare,288962735.0,-0.39,-3.35,-25.16,6.71346,29544600.0,54,HSR,43042296.0,hshare
149727007.0,2062,1527573266,,Aion,282582775.0,-0.16,-2.54,-21.68,1.88732,2081780.0,55,AION,465934587.0,aion
45500000.0,1908,1527573262,100000000.0,Nebulas,262549560.0,-0.41,-3.83,-18.56,5.77032,51006300.0,56,NAS,100000000.0,nebulas-token
572074043.0,1934,1527573263,,Loopring,254692513.0,-0.16,-5.69,-28.49,0.445209,7620960.0,57,LRC,1374956262.0,loopring
1000000000.0,1697,1527573558,,Basic Attention Token,249161000.0,-0.47,-6.95,-26.21,0.249161,2319140.0,58,BAT,1500000000.0,basic-attention-token
2000000.0,1229,1527573551,,DigixDAO,246974000.0,-0.14,-7.35,-33.93,123.487,2153790.0,59,DGD,2000000.0,digixdao
998999495.0,1320,1527573552,998999495.0,Ardor,244578053.0,-0.75,-4.87,-17.84,0.244823,1680370.0,60,ARDR,998999495.0,ardor
104214819.0,1521,1527573554,,Komodo,238452884.0,-1.01,-8.44,-29.13,2.28809,951952.0,61,KMD,104214819.0,komodo
633879774.0,2246,1527573270,,CyberMiles,238184762.0,-1.76,14.8,15.0,0.375757,74500500.0,62,CMT,1000000000.0,cybermiles
102853848.0,1586,1527573557,,Ark,220994863.0,-0.16,-3.91,-26.13,2.14863,924252.0,63,ARK,134103848.0,ark
