name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Docademic,MTC,https://docademic.com/,https://github.com/Docademic/,,271570415,2711,1527573280,,94193384,2.91,6.28,324.07,0.346847,5107450,127,850000000,docademic
Photon,PHO,http://www.photoncc.com/,https://github.com/photonproject/photon,,23060439976,175,1527573543,,3242805,-3.4,-20.32,257.87,0.000140622,59768.1,698,23060439976,photon
LatiumX,LATX,https://latium.org/,https://github.com/Latium-org,,81453145,2594,1527573577,,5042764,9.49,35.49,161.77,0.06191,443756,624,300000000,latiumx
Bezop,BEZ,https://bezop.io/,https://github.com/bezopteam,,42634684,2551,1527573576,,10501946,0.28,23.89,161.14,0.246324,1547580,465,89267250,bezop
SuperCoin,SUPER,https://supercoin.nl/,https://github.com/CryptoUnited/SuperCoin,,48758588,341,1527573544,,759556,-0.16,-2.46,128.62,0.0155779,83.1432,1067,48758588,supercoin
DCORP,DRP,https://www.dcorp.it/,https://github.com/frankbonnet/DCORP,,8094002,2164,1527573567,,8009226,-0.18,195.54,115.24,0.989526,2196.18,514,8094002,dcorp
SONO,SONO,http://altcoincommunity.co/,https://github.com/altcommunitycoin/altcommunitycoin-skunk,,,2140,1527573567,,,-0.16,52.48,111.02,1.49497,972.482,1511,473808,altcommunity-coin
Scorecoin,SCORE,http://scorecoin.net/,https://github.com/marksteven2017/Scorecoin/,,41737500,1610,1527573557,58800000,207987,-5.55,8.63,67.13,0.00498322,3849.76,966,41737500,scorecoin
Linker Coin,LNC,https://www.linkercoin.com/en,https://github.com/linkercoinfoundation,,112776150,2677,1527573580,,10436936,2.74,5.71,59.49,0.0925456,379969,467,500000000,linker-coin
ACChain,ACC,https://www.acchain.org/,https://github.com/sxmz/acchain,,,2515,1527421163,,,,,54.67,0.270022,,1624,,acchain
PROUD Money,PROUD,http://www.proud.money/,https://github.com/Gaycoins/GAYcoin-Online,,,1398,1527573554,,,-0.16,-85.5,51.34,0.0281196,449.063,1522,5711511682,proud-money
Nexty,NTY,https://nexty.io/,https://github.com/nextyio,,,2714,1527573580,1.8E+11,,8,19.33,48.84,0.000329735,558420,1398,1.8E+11,nexty
Joincoin,J,https://bitcointalk.org/index.php?topic=737405.0,https://github.com/joincoin/joincoin,,3104144,536,1527573545,,333900,-0.18,11.19,47.62,0.107566,80.6504,1121,3104144,joincoin
Zilbercoin,ZBC,https://zilbercoin.de/,https://github.com/Zilbercoin,,7060697,1526,1527573555,,453574,-7.3,19.83,45.27,0.0642393,6504.35,920,9174133,zilbercoin
Cheapcoin,CHEAP,,https://github.com/cheapandcloud/chain,,,1728,1527401951,,,,,43.79,0.000364294,,1619,,cheapcoin
Storiqa,STQ,https://crowdsale.storiqa.com/,https://github.com/Storiqa/ico_smart_contract,,7767544247,2541,1527573276,,53960275,0.04,15.76,41.59,0.00694689,3314850,188,11287544272,storiqa
I0Coin,I0C,http://izerocoin.org,https://github.com/domob1812/i0coin,,20991239,63,1527573542,,1049029,-0.16,13.33,41.35,0.0499746,558.511,849,20991239,i0coin
MyBit Token,MYB,https://mybit.io/,https://github.com/MyBitFoundation/MyBitDapp,,50270188,1902,1527573262,,174794469,0.05,10.47,41.15,3.4771,147293,79,180000000,mybit-token
Dollar Online,DOLLAR,http://www.edollar.online/,https://github.com/DOLLAR-ONLINE/DOLLAR,,753776,1485,1527573554,,15508,-0.16,50.44,41,0.0205736,159.633,1324,9601412,dollar-online
RouletteToken,RLT,https://smartplay.tech/,https://github.com/Smartroulette,,10217597,1683,1527573559,,699739,-0.02,-0.71,40.17,0.0684837,18752.4,886,10218320,roulettetoken
Crypto,CTO,http://tailflick.wix.com/official-crypto,https://github.com/crypto-official/crypto,,13742738,933,1527428047,,142441,,,36.06,0.0103648,,1193,13742738,crypto
BOAT,BOAT,http://boatcoin.net/,https://github.com/OBAViJEST/boatcoinfinal,,18547845,1534,1527573555,,31690,-0.16,29.09,35.62,0.00170853,91.5183,1292,18547845,doubloon
SOILcoin,SOIL,https://soil.cash/,https://github.com/Soilcoin/SOILsafe/,,5702048,1111,1527573556,,100669,-0.16,-0.93,26.48,0.0176549,308.301,1219,5702048,soilcoin
Datacoin,DTC,http://datacoin.info/,https://github.com/foo1inge/datacoin-hp,,31535495,69,1527573542,,246948,-0.16,-28.26,26.35,0.00783078,60.6207,1136,31535495,datacoin
IncaKoin,NKA,http://incakoin.info/,https://github.com/madross/incakoin-new/,,14993397199,797,1527573546,,836940,-0.88,-22.61,26.09,5.58E-05,769.219,869,14995397199,incakoin
Smoke,SMOKE,https://www.smoke.network/,https://github.com/smokenetwork,,,1898,1527573563,420000000,,-1.57,-14.79,25.3,0.0649027,384.242,1525,13379987,smoke
REAL,REAL,https://www.real.markets/,https://forkdelta.github.io/#!/trade/REAL-ETH,,10055817,2030,1527573565,,4728316,23.75,-0.76,24.31,0.470207,5166.36,638,19717288,real
Regacoin,REGA,https://regaco.in/,https://github.com/REGAcoin/REGA/,,,1459,1527573553,,,-0.16,,22.4,0.000711889,26.3855,1570,42403494,regacoin
GeertCoin,GEERT,,https://github.com/GeertAltCoin/Geertcoin,,5091200,1570,1527573556,,30807,-0.16,43.43,22.15,0.00605106,35.1103,1294,5091200,geertcoin
FairCoin,FAIR,http://fair-coin.org/,https://github.com/FairCoinTeam/fair-coin,,53193831,224,1527573552,,24614275,-0.16,-2.13,21.17,0.462728,14655.2,295,53193831,faircoin
Bankcoin,B@,http://bankcoin.global/,https://ethereumclassic.github.io/,,10291781,1597,1527573555,,144071,-0.46,-15.04,20.49,0.0139986,346.11,1192,25000000,bankcoin
AdCoin,ACC,https://www.getadcoin.com/,https://github.com/adcoin-project/AdCoin,,6296584,1915,1527573563,,445420,-0.81,43.99,19.89,0.0707399,19646.1,923,71289067,adcoin
Madcoin,MDC,https://madcoin.life/,https://github.com/madcoin-project/madcoin,,1819612,2326,1527573571,3942000,58032,-0.07,1.38,18.84,0.0318926,615.634,1002,2276865,madcoin
Bitair,BTCA,https://www.bitair.io/,https://gist.github.com/BitAir/,,700000000,2285,1527573570,,314564,-0.39,38.28,17.86,0.000449377,7877.12,942,1000000000,bitair
Bitvolt,VOLT,http://bitvolt.co/,https://github.com/voltcoin/Volt,,16588056,1657,1527573557,,16532,-0.16,37.01,16.28,0.000996645,49.3259,1322,61608156,bitvolt
Playkey,PKT,https://playkey.io/,https://github.com/Playkey/ico-contracts,,13631512,2279,1527573570,,11373548,5.66,3.7,16.23,0.834357,334621,448,19893268,playkey
Darsek,KED,http://ked.scificrypto.info/,https://github.com/scificrypto/Darsek,,20644973,1614,1527573556,,213106,9.65,-0.76,15.14,0.0103224,84.8157,1153,20644973,darsek
CyberMiles,CMT,https://www.cybermiles.io/,https://github.com/cybermiles,,633879774,2246,1527573270,,238184762,-1.76,14.8,15,0.375757,74500500,62,1000000000,cybermiles
